epoch,Dice_Coefficient,binary_accuracy,loss,val_Dice_Coefficient,val_binary_accuracy,val_loss
0,0.5189730525016785,0.8091209530830383,0.48153921961784363,0.3300970792770386,0.4238879084587097,0.6705030798912048
1,0.5556524395942688,0.8355726599693298,0.44255438446998596,0.031015336513519287,0.7695932984352112,0.968255341053009
2,0.5718347430229187,0.8424513339996338,0.4300900399684906,0.012580441311001778,0.8094606399536133,0.9868876934051514
3,0.5808645486831665,0.8445991277694702,0.4195002019405365,0.0068849013186991215,0.8093730211257935,0.9926706552505493
4,0.5928787589073181,0.8490902185440063,0.4071597754955292,0.014711689203977585,0.8094627261161804,0.9841964244842529
5,0.5882031917572021,0.8476810455322266,0.41159114241600037,0.2991630434989929,0.8596979975700378,0.672441303730011
6,0.5935114026069641,0.8509833812713623,0.4064314663410187,0.4858654737472534,0.8388711214065552,0.5134509801864624
7,0.5909863114356995,0.8510465025901794,0.4075320363044739,0.5334711670875549,0.8336528539657593,0.46480435132980347
8,0.5895247459411621,0.8486496806144714,0.40908384323120117,0.5293954014778137,0.8219884037971497,0.4593868851661682
9,0.5988849997520447,0.8538028001785278,0.4003806710243225,0.5642756223678589,0.8466930985450745,0.4272111654281616
10,0.6022569537162781,0.8546704649925232,0.39863255620002747,0.5270413756370544,0.8515801429748535,0.4551313519477844
11,0.6084247827529907,0.8566312789916992,0.3910347521305084,0.5740262269973755,0.8457849621772766,0.42327702045440674
12,0.608110785484314,0.8559762239456177,0.39297470450401306,0.49218443036079407,0.7871286869049072,0.4995713531970978
13,0.60398930311203,0.8542537689208984,0.3972572088241577,0.48362287878990173,0.8450595736503601,0.49439752101898193
14,0.609197199344635,0.8564407825469971,0.3908184766769409,0.5012418627738953,0.7524061799049377,0.5079164505004883
15,0.6064024567604065,0.8598303198814392,0.39166325330734253,0.5559769868850708,0.823870062828064,0.44123971462249756
16,0.613612174987793,0.8615436553955078,0.3864031434059143,0.5232997536659241,0.8292183876037598,0.4606601297855377
17,0.6192212700843811,0.859589159488678,0.38024720549583435,0.5519570112228394,0.8336517810821533,0.43829575181007385
18,0.6156380772590637,0.8615300059318542,0.383715957403183,0.5374305844306946,0.81168532371521,0.4592955410480499
19,0.6164263486862183,0.8610221743583679,0.38357290625572205,0.5631752014160156,0.835055410861969,0.43665647506713867
